policy,age,cancel_date,make,pol_from,pol_to,state
POL000000426,52,,Nissan,2016-04-12,2017-04-11,NSW
POL000000427,64,,Hyundai,2017-03-17,2018-03-16,NSW
POL000000428,30,,Ford,2016-11-27,2017-11-26,NSW
POL000000429,39,,Volkswagen,2016-11-30,2017-11-29,NSW
POL000000430,55,,Honda,2017-02-05,2018-02-04,NSW
POL000000431,99,,Volkswagen,2016-07-01,2017-06-30,NSW
POL000000432,87,,Holden,2016-04-07,2017-04-06,NSW
POL000000433,24,,Hyundai,2016-11-14,2017-11-13,NSW
POL000000434,51,,Volkswagen,2016-05-30,2017-05-29,NSW
POL000000435,76,,Ford,2017-03-17,2018-03-16,NSW
POL000000436,19,,Nissan,2016-12-09,2017-12-08,NSW
POL000000437,80,,Holden,2016-09-07,2017-09-06,NSW
POL000000438,32,,Mazda,2017-02-16,2018-02-15,NSW
POL000000439,93,,Mazda,2016-11-29,2017-11-28,NSW
POL000000440,98,,Toyota,2016-06-30,2017-06-29,NSW
POL000000441,74,,Nissan,2017-01-01,2017-12-31,NSW
POL000000442,87,,Mitsubishi,2016-04-21,2017-04-20,NSW
POL000000443,69,,Mitsubishi,2016-11-06,2017-11-05,NSW
POL000000444,85,,Mitsubishi,2017-01-16,2018-01-15,NSW
POL000000445,75,,Mitsubishi,2017-04-05,2018-04-04,NSW
POL000000446,97,,Mazda,2016-05-22,2017-05-21,NSW
POL000000447,82,,Mitsubishi,2017-02-10,2018-02-09,NSW
POL000000448,72,,Subaru,2017-03-13,2018-03-12,NSW
POL000000449,70,,Ford,2016-12-06,2017-12-05,NSW
POL000000450,76,,Volkswagen,2017-03-10,2018-03-09,NSW
POL000000451,76,,Toyota,2016-06-08,2017-06-07,NSW
POL000000452,75,,Hyundai,2016-05-28,2017-05-27,NSW
POL000000453,63,,Honda,2016-07-13,2017-07-12,NSW
POL000000454,53,,Nissan,2016-10-21,2017-10-20,NSW
POL000000455,62,,Toyota,2016-06-21,2017-06-20,NSW
POL000000456,65,,Nissan,2017-01-07,2018-01-06,NSW
POL000000457,37,,Hyundai,2016-06-24,2017-06-23,NSW
POL000000458,19,,Toyota,2016-09-25,2017-09-24,NSW
POL000000459,34,,Holden,2017-01-22,2018-01-21,NSW
POL000000460,81,,Toyota,2017-02-15,2018-02-14,NSW
POL000000461,92,,Nissan,2016-08-31,2017-08-30,NSW
POL000000462,66,,Toyota,2016-09-19,2017-09-18,NSW
POL000000463,43,2016-05-24,Honda,2016-07-06,2017-07-05,NSW
POL000000464,80,,Toyota,2016-10-18,2017-10-17,NSW
POL000000465,61,,Toyota,2016-10-16,2017-10-15,NSW
POL000000466,65,,Nissan,2016-09-16,2017-09-15,NSW
POL000000467,79,,Hyundai,2017-01-05,2018-01-04,NSW
POL000000468,32,,Toyota,2016-07-04,2017-07-03,NSW
POL000000469,31,2016-06-27,Volkswagen,2016-08-02,2017-08-01,NSW
POL000000470,73,,Ford,2016-08-18,2017-08-17,NSW
POL000000471,46,,Honda,2016-08-23,2017-08-22,NSW
POL000000472,54,,Toyota,2017-03-17,2018-03-16,NSW
POL000000473,34,,Nissan,2017-02-02,2018-02-01,NSW
POL000000474,43,,Hyundai,2016-04-25,2017-04-24,NSW
POL000000475,71,,Ford,2016-08-20,2017-08-19,NSW
POL000000476,56,2017-03-12,Holden,2017-03-22,2018-03-21,NSW
POL000000477,82,,Honda,2016-08-25,2017-08-24,NSW
POL000000478,27,,Volkswagen,2017-02-03,2018-02-02,NSW
POL000000479,43,,Mitsubishi,2017-01-01,2017-12-31,NSW
POL000000480,77,,Holden,2016-04-28,2017-04-27,NSW
POL000000481,23,,Holden,2016-09-14,2017-09-13,NSW
POL000000482,30,,Mitsubishi,2017-02-10,2018-02-09,NSW
POL000000483,44,,Holden,2016-12-16,2017-12-15,NSW
POL000000484,59,,Ford,2016-12-23,2017-12-22,NSW
POL000000485,99,2015-08-18,Nissan,2016-07-01,2017-06-30,NSW
POL000000486,40,,Nissan,2016-12-12,2017-12-11,NSW
POL000000487,25,,Mitsubishi,2016-11-08,2017-11-07,NSW
POL000000488,93,,Hyundai,2016-06-26,2017-06-25,NSW
POL000000489,42,,Ford,2017-02-24,2018-02-23,NSW
POL000000490,47,,Honda,2016-11-23,2017-11-22,NSW
POL000000491,54,,Hyundai,2017-01-24,2018-01-23,NSW
POL000000492,76,,Honda,2016-12-29,2017-12-28,NSW
POL000000493,48,,Holden,2017-02-07,2018-02-06,NSW
POL000000494,24,,Toyota,2016-07-10,2017-07-09,NSW
POL000000495,50,,Honda,2016-12-12,2017-12-11,NSW
POL000000496,48,,Subaru,2017-02-11,2018-02-10,NSW
POL000000497,62,,Mitsubishi,2016-09-11,2017-09-10,NSW
POL000000498,83,,Nissan,2016-11-17,2017-11-16,NSW
POL000000499,53,,Subaru,2017-01-23,2018-01-22,NSW
POL000000500,71,,Holden,2016-10-08,2017-10-07,NSW
POL000000501,53,,Mitsubishi,2017-03-14,2018-03-13,NSW
POL000000502,18,,Nissan,2016-06-25,2017-06-24,NSW
POL000000503,40,,Nissan,2017-03-30,2018-03-29,NSW
POL000000504,76,,Mitsubishi,2016-09-10,2017-09-09,NSW
POL000000505,45,2016-08-09,Volkswagen,2017-02-01,2018-01-31,NSW
POL000000506,82,,Holden,2016-06-06,2017-06-05,NSW
POL000000507,37,2016-05-26,Hyundai,2017-02-24,2018-02-23,NSW
POL000000508,72,,Mitsubishi,2016-10-12,2017-10-11,NSW
POL000000509,61,,Mazda,2016-04-10,2017-04-09,NSW
POL000000510,38,,Volkswagen,2016-04-28,2017-04-27,NSW
POL000000511,39,,Subaru,2016-04-15,2017-04-14,NSW
POL000000512,95,,Ford,2016-06-02,2017-06-01,NSW
POL000000513,70,,Holden,2016-10-12,2017-10-11,NSW
POL000000514,88,,Holden,2017-01-18,2018-01-17,NSW
POL000000515,91,,Subaru,2017-03-29,2018-03-28,NSW
POL000000516,31,,Toyota,2016-09-06,2017-09-05,NSW
POL000000517,32,,Nissan,2016-08-14,2017-08-13,NSW
POL000000518,84,,Subaru,2016-07-18,2017-07-17,NSW
POL000000519,43,,Mazda,2017-03-02,2018-03-01,NSW
POL000000520,43,,Ford,2016-09-08,2017-09-07,NSW
POL000000521,42,,Mitsubishi,2016-11-21,2017-11-20,NSW
POL000000522,85,,Ford,2016-09-28,2017-09-27,NSW
POL000000523,34,,Honda,2016-11-23,2017-11-22,NSW
POL000000524,21,,Volkswagen,2016-11-03,2017-11-02,NSW
POL000000525,45,,Volkswagen,2017-01-07,2018-01-06,NSW
POL000000526,44,,Toyota,2016-06-04,2017-06-03,NSW
POL000000527,31,,Hyundai,2017-01-15,2018-01-14,NSW
POL000000528,90,,Volkswagen,2016-06-16,2017-06-15,NSW
POL000000529,94,,Toyota,2017-02-18,2018-02-17,NSW
POL000000530,23,,Toyota,2017-02-09,2018-02-08,NSW
POL000000531,18,,Subaru,2016-06-23,2017-06-22,NSW
POL000000532,56,,Mitsubishi,2016-10-27,2017-10-26,NSW
POL000000533,57,,Ford,2016-04-07,2017-04-06,NSW
POL000000534,40,,Subaru,2016-07-23,2017-07-22,NSW
POL000000535,44,,Volkswagen,2016-06-20,2017-06-19,NSW
POL000000536,46,,Honda,2017-03-14,2018-03-13,NSW
POL000000537,28,2015-07-21,Nissan,2016-06-05,2017-06-04,NSW
POL000000538,50,,Ford,2016-11-24,2017-11-23,NSW
POL000000539,37,,Honda,2016-10-31,2017-10-30,NSW
POL000000540,90,,Holden,2016-11-07,2017-11-06,NSW
POL000000541,93,,Hyundai,2016-04-30,2017-04-29,NSW
POL000000542,94,,Volkswagen,2016-12-20,2017-12-19,NSW
POL000000543,97,,Volkswagen,2017-02-15,2018-02-14,NSW
POL000000544,87,,Honda,2016-08-28,2017-08-27,NSW
POL000000545,24,,Honda,2016-05-19,2017-05-18,NSW
POL000000546,97,,Subaru,2016-07-22,2017-07-21,NSW
POL000000547,53,,Mazda,2016-04-16,2017-04-15,NSW
POL000000548,95,,Holden,2017-03-05,2018-03-04,NSW
POL000000549,38,,Mazda,2017-03-04,2018-03-03,NSW
POL000000550,93,,Honda,2016-09-15,2017-09-14,NSW
POL000000551,30,,Honda,2017-01-13,2018-01-12,NSW
POL000000552,32,,Hyundai,2016-09-19,2017-09-18,NSW
POL000000553,30,,Subaru,2016-05-13,2017-05-12,NSW
POL000000554,25,,Ford,2016-12-03,2017-12-02,NSW
POL000000555,45,,Ford,2016-11-01,2017-10-31,NSW
POL000000556,37,,Hyundai,2017-01-03,2018-01-02,NSW
POL000000557,39,,Nissan,2017-03-30,2018-03-29,NSW
POL000000558,41,,Mitsubishi,2016-07-26,2017-07-25,NSW
POL000000559,88,,Holden,2016-04-12,2017-04-11,NSW
POL000000560,69,,Holden,2016-06-22,2017-06-21,NSW
POL000000561,21,2016-11-01,Mitsubishi,2017-03-02,2018-03-01,NSW
POL000000562,92,,Toyota,2017-01-25,2018-01-24,NSW
POL000000563,56,,Holden,2017-02-25,2018-02-24,NSW
POL000000564,56,,Toyota,2016-04-28,2017-04-27,NSW
POL000000565,65,,Holden,2016-06-09,2017-06-08,NSW
POL000000566,22,,Mazda,2016-05-08,2017-05-07,NSW
POL000000567,33,,Volkswagen,2016-08-21,2017-08-20,NSW
POL000000568,59,,Mitsubishi,2016-05-17,2017-05-16,NSW
POL000000569,59,,Hyundai,2016-12-10,2017-12-09,NSW
POL000000570,68,,Ford,2017-01-15,2018-01-14,NSW
POL000000571,68,,Mazda,2017-03-08,2018-03-07,NSW
POL000000572,79,,Subaru,2017-01-21,2018-01-20,NSW
POL000000573,30,,Toyota,2016-05-16,2017-05-15,NSW
POL000000574,91,,Mazda,2016-09-02,2017-09-01,NSW
POL000000575,73,,Subaru,2016-06-27,2017-06-26,NSW
POL000000576,35,,Subaru,2016-09-22,2017-09-21,NSW
POL000000577,69,,Holden,2016-11-25,2017-11-24,NSW
POL000000578,68,,Toyota,2016-08-07,2017-08-06,NSW
POL000000579,95,,Mazda,2017-02-16,2018-02-15,NSW
POL000000580,57,2015-10-24,Toyota,2016-08-03,2017-08-02,NSW
POL000000581,67,,Mazda,2017-03-30,2018-03-29,NSW
POL000000582,96,,Honda,2016-09-05,2017-09-04,NSW
POL000000583,40,,Subaru,2017-01-13,2018-01-12,NSW
POL000000584,60,,Mitsubishi,2017-04-05,2018-04-04,NSW
POL000000585,30,2016-04-11,Honda,2016-10-28,2017-10-27,NSW
POL000000586,50,,Volkswagen,2016-07-22,2017-07-21,NSW
POL000000587,83,,Mitsubishi,2016-12-11,2017-12-10,NSW
POL000000588,85,,Honda,2016-10-31,2017-10-30,NSW
POL000000589,55,,Nissan,2017-03-05,2018-03-04,NSW
POL000000590,62,,Nissan,2016-09-23,2017-09-22,NSW
POL000000591,60,,Subaru,2016-07-10,2017-07-09,NSW
POL000000592,32,,Hyundai,2016-05-11,2017-05-10,NSW
POL000000593,36,,Volkswagen,2016-07-14,2017-07-13,NSW
POL000000594,50,2016-05-09,Ford,2017-02-08,2018-02-07,NSW
POL000000595,62,,Holden,2016-04-13,2017-04-12,NSW
POL000000596,76,2016-01-09,Honda,2016-08-12,2017-08-11,NSW
POL000000597,20,,Volkswagen,2017-01-03,2018-01-02,NSW
POL000000598,65,,Ford,2017-02-16,2018-02-15,NSW
POL000000599,84,2015-08-21,Subaru,2016-07-17,2017-07-16,NSW
POL000000600,72,,Holden,2017-03-01,2018-02-28,NSW
POL000000601,27,2016-02-15,Hyundai,2016-08-03,2017-08-02,NSW
POL000000602,44,,Mitsubishi,2016-04-09,2017-04-08,NSW
POL000000603,81,,Hyundai,2016-07-19,2017-07-18,NSW
POL000000604,89,,Nissan,2017-03-05,2018-03-04,NSW
POL000000605,60,,Subaru,2016-11-12,2017-11-11,NSW
POL000000606,72,,Volkswagen,2017-01-19,2018-01-18,NSW
POL000000607,35,,Toyota,2016-05-12,2017-05-11,NSW
POL000000608,59,,Nissan,2017-03-11,2018-03-10,NSW
POL000000609,73,,Mazda,2017-02-18,2018-02-17,NSW
POL000000610,58,,Volkswagen,2016-04-16,2017-04-15,NSW
POL000000611,24,,Volkswagen,2016-07-28,2017-07-27,NSW
POL000000612,87,,Volkswagen,2016-09-04,2017-09-03,NSW
POL000000613,86,,Subaru,2016-04-16,2017-04-15,NSW
POL000000614,29,,Subaru,2016-06-28,2017-06-27,NSW
POL000000615,75,,Nissan,2016-12-28,2017-12-27,NSW
POL000000616,88,,Toyota,2016-05-16,2017-05-15,NSW
POL000000617,51,,Subaru,2016-08-04,2017-08-03,NSW
POL000000618,96,,Mitsubishi,2016-07-21,2017-07-20,NSW
POL000000619,41,,Honda,2016-07-30,2017-07-29,NSW
POL000000620,99,,Volkswagen,2016-05-21,2017-05-20,NSW
POL000000621,60,,Hyundai,2016-08-16,2017-08-15,NSW
POL000000622,70,,Nissan,2017-01-24,2018-01-23,NSW
POL000000623,32,,Nissan,2016-09-16,2017-09-15,NSW
POL000000624,66,,Subaru,2016-04-16,2017-04-15,NSW
POL000000625,85,2016-07-31,Nissan,2016-08-06,2017-08-05,NSW
POL000000626,81,,Ford,2016-09-13,2017-09-12,NSW
POL000000627,20,,Honda,2016-09-19,2017-09-18,NSW
POL000000628,70,,Mitsubishi,2016-04-08,2017-04-07,NSW
POL000000629,34,,Honda,2016-09-23,2017-09-22,NSW
POL000000630,67,,Nissan,2016-04-13,2017-04-12,NSW
POL000000631,90,2016-03-01,Holden,2016-08-01,2017-07-31,NSW
POL000000632,35,,Ford,2016-05-18,2017-05-17,NSW
POL000000633,77,,Hyundai,2016-09-12,2017-09-11,NSW
POL000000634,29,,Nissan,2016-06-03,2017-06-02,NSW
POL000000635,47,,Honda,2016-08-03,2017-08-02,NSW
POL000000636,72,,Volkswagen,2016-07-08,2017-07-07,NSW
POL000000637,26,,Hyundai,2016-04-08,2017-04-07,NSW
POL000000638,23,,Hyundai,2016-04-08,2017-04-07,NSW
POL000000639,24,,Hyundai,2016-07-26,2017-07-25,NSW
POL000000640,60,,Mazda,2016-10-02,2017-10-01,NSW
POL000000641,81,,Mazda,2017-04-02,2018-04-01,NSW
POL000000642,82,,Nissan,2016-07-27,2017-07-26,NSW
POL000000643,53,2017-01-08,Volkswagen,2017-02-01,2018-01-31,NSW
POL000000644,77,,Holden,2016-10-20,2017-10-19,NSW
POL000000645,55,,Toyota,2016-04-07,2017-04-06,NSW
POL000000646,20,,Holden,2016-08-10,2017-08-09,NSW
POL000000647,44,,Nissan,2016-06-24,2017-06-23,NSW
POL000000648,48,,Mitsubishi,2016-04-29,2017-04-28,NSW
POL000000649,50,,Volkswagen,2016-10-13,2017-10-12,NSW
POL000000650,40,,Honda,2016-09-17,2017-09-16,NSW
POL000000651,51,,Mitsubishi,2016-10-02,2017-10-01,NSW
POL000000652,47,,Toyota,2017-03-27,2018-03-26,NSW
POL000000653,51,,Subaru,2017-03-20,2018-03-19,NSW
POL000000654,27,,Subaru,2016-11-22,2017-11-21,NSW
POL000000655,68,,Mazda,2017-01-29,2018-01-28,NSW
POL000000656,90,,Hyundai,2016-12-20,2017-12-19,NSW
POL000000657,27,,Holden,2017-03-12,2018-03-11,NSW
POL000000658,99,,Mazda,2017-01-09,2018-01-08,NSW
POL000000659,26,,Hyundai,2017-01-25,2018-01-24,NSW
POL000000660,41,,Toyota,2016-10-05,2017-10-04,NSW
POL000000661,62,2016-06-02,Subaru,2017-03-09,2018-03-08,NSW
POL000000662,82,2017-02-07,Toyota,2017-03-20,2018-03-19,NSW
POL000000663,38,,Honda,2017-01-13,2018-01-12,NSW
POL000000664,54,,Mitsubishi,2016-11-24,2017-11-23,NSW
POL000000665,48,2016-05-11,Mazda,2017-03-17,2018-03-16,NSW
POL000000666,84,2015-05-06,Mitsubishi,2016-09-18,2017-09-17,NSW
POL000000667,24,,Toyota,2016-05-31,2017-05-30,NSW
POL000000668,82,,Honda,2016-09-08,2017-09-07,NSW
POL000000669,77,,Holden,2016-11-25,2017-11-24,NSW
POL000000670,85,,Hyundai,2016-08-15,2017-08-14,NSW
POL000000671,85,,Mazda,2016-11-15,2017-11-14,NSW
POL000000672,67,2016-08-24,Toyota,2017-03-25,2018-03-24,NSW
POL000000673,54,,Ford,2016-06-27,2017-06-26,NSW
POL000000674,90,,Nissan,2017-01-06,2018-01-05,NSW
POL000000675,72,,Toyota,2016-08-30,2017-08-29,NSW
POL000000676,54,2016-04-07,Hyundai,2017-01-23,2018-01-22,NSW
POL000000677,89,2015-11-08,Ford,2016-06-03,2017-06-02,NSW
POL000000678,35,,Volkswagen,2017-02-03,2018-02-02,NSW
POL000000679,36,,Volkswagen,2016-10-03,2017-10-02,NSW
POL000000680,68,2016-08-31,Mazda,2016-10-14,2017-10-13,NSW
POL000000681,95,2016-03-03,Hyundai,2016-04-27,2017-04-26,NSW
POL000000682,20,,Volkswagen,2016-08-16,2017-08-15,NSW
POL000000683,66,,Ford,2016-09-02,2017-09-01,NSW
POL000000684,74,,Hyundai,2016-09-22,2017-09-21,NSW
POL000000685,51,,Nissan,2016-08-31,2017-08-30,NSW
POL000000686,18,,Mazda,2017-01-17,2018-01-16,NSW
POL000000687,42,,Mitsubishi,2016-06-08,2017-06-07,NSW
POL000000688,54,,Ford,2017-02-03,2018-02-02,NSW
POL000000689,25,2015-02-12,Hyundai,2016-09-27,2017-09-26,NSW
POL000000690,92,,Hyundai,2016-05-23,2017-05-22,NSW
POL000000691,89,,Hyundai,2017-01-26,2018-01-25,NSW
POL000000692,71,,Volkswagen,2017-03-31,2018-03-30,NSW
POL000000693,97,,Ford,2016-05-06,2017-05-05,NSW
POL000000694,23,,Honda,2016-06-11,2017-06-10,NSW
POL000000695,96,2016-02-21,Holden,2016-08-01,2017-07-31,NSW
POL000000696,81,,Toyota,2016-07-27,2017-07-26,NSW
POL000000697,87,,Holden,2016-11-21,2017-11-20,NSW
POL000000698,60,,Volkswagen,2016-05-06,2017-05-05,NSW
POL000000699,54,,Hyundai,2017-01-18,2018-01-17,NSW
POL000000700,84,,Volkswagen,2016-10-15,2017-10-14,NSW
POL000000701,35,,Honda,2017-03-21,2018-03-20,NSW
POL000000702,51,,Subaru,2016-11-21,2017-11-20,NSW
POL000000703,62,,Toyota,2016-09-09,2017-09-08,NSW
POL000000704,82,,Volkswagen,2016-06-11,2017-06-10,NSW
POL000000705,89,,Toyota,2016-10-01,2017-09-30,NSW
POL000000706,51,,Nissan,2016-04-08,2017-04-07,NSW
POL000000707,80,,Subaru,2016-06-12,2017-06-11,NSW
POL000000708,33,,Mitsubishi,2016-10-26,2017-10-25,NSW
POL000000709,51,,Hyundai,2016-09-22,2017-09-21,NSW
POL000000710,70,,Nissan,2017-01-09,2018-01-08,NSW
POL000000711,39,,Hyundai,2017-03-14,2018-03-13,NSW
POL000000712,93,,Hyundai,2016-08-16,2017-08-15,NSW
POL000000713,76,2016-06-05,Hyundai,2017-01-20,2018-01-19,NSW
POL000000714,81,2015-10-06,Mitsubishi,2016-09-07,2017-09-06,NSW
POL000000715,86,,Subaru,2016-04-23,2017-04-22,NSW
POL000000716,61,,Mazda,2016-09-17,2017-09-16,NSW
POL000000717,22,,Nissan,2016-07-16,2017-07-15,NSW
POL000000718,71,,Mitsubishi,2016-09-06,2017-09-05,NSW
POL000000719,23,,Nissan,2016-06-27,2017-06-26,NSW
POL000000720,35,2014-05-31,Nissan,2017-02-11,2018-02-10,NSW
POL000000721,89,,Mazda,2017-02-02,2018-02-01,NSW
POL000000722,50,,Subaru,2016-09-09,2017-09-08,NSW
POL000000723,87,,Honda,2017-02-02,2018-02-01,NSW
POL000000724,94,,Honda,2017-02-27,2018-02-26,NSW
POL000000725,50,,Volkswagen,2016-09-25,2017-09-24,NSW
POL000000726,96,,Hyundai,2016-05-25,2017-05-24,NSW
POL000000727,38,,Mazda,2016-09-23,2017-09-22,NSW
POL000000728,61,,Toyota,2017-03-05,2018-03-04,NSW
POL000000729,24,,Mazda,2016-10-09,2017-10-08,NSW
POL000000730,83,,Hyundai,2016-09-15,2017-09-14,NSW
POL000000731,35,,Volkswagen,2017-03-03,2018-03-02,NSW
POL000000732,57,,Ford,2016-04-13,2017-04-12,NSW
POL000000733,77,,Ford,2016-11-25,2017-11-24,NSW
POL000000734,32,2016-08-15,Mazda,2016-10-23,2017-10-22,NSW
POL000000735,36,,Honda,2016-07-25,2017-07-24,NSW
POL000000736,47,,Toyota,2017-04-05,2018-04-04,NSW
POL000000737,63,,Subaru,2017-03-31,2018-03-30,NSW
POL000000738,47,,Hyundai,2016-11-11,2017-11-10,NSW
POL000000739,62,,Volkswagen,2017-03-31,2018-03-30,NSW
POL000000740,53,,Mitsubishi,2016-09-18,2017-09-17,NSW
POL000000741,87,,Volkswagen,2017-01-07,2018-01-06,NSW
POL000000742,60,2016-09-20,Mitsubishi,2017-01-31,2018-01-30,NSW
POL000000743,35,,Mazda,2017-02-24,2018-02-23,NSW
POL000000744,92,,Hyundai,2016-09-12,2017-09-11,NSW
POL000000745,68,2016-12-15,Hyundai,2017-02-07,2018-02-06,NSW
POL000000746,71,,Volkswagen,2016-07-26,2017-07-25,NSW
POL000000747,56,,Mazda,2017-03-07,2018-03-06,NSW
POL000000748,29,,Honda,2016-08-27,2017-08-26,NSW
POL000000749,44,,Nissan,2016-08-21,2017-08-20,NSW
POL000000750,35,,Mitsubishi,2017-02-07,2018-02-06,NSW
POL000000751,94,,Honda,2016-09-19,2017-09-18,NSW
POL000000752,25,,Holden,2016-06-20,2017-06-19,NSW
POL000000753,89,,Nissan,2016-07-07,2017-07-06,NSW
POL000000754,19,,Volkswagen,2016-10-29,2017-10-28,NSW
POL000000755,33,,Toyota,2016-05-01,2017-04-30,NSW
POL000000756,46,,Honda,2017-02-18,2018-02-17,NSW
POL000000757,97,,Subaru,2016-04-30,2017-04-29,NSW
POL000000758,49,,Mitsubishi,2016-05-24,2017-05-23,NSW
POL000000759,82,,Toyota,2016-04-27,2017-04-26,NSW
POL000000760,64,,Hyundai,2016-08-19,2017-08-18,NSW
POL000000761,43,,Honda,2017-02-09,2018-02-08,NSW
POL000000762,37,,Holden,2017-02-18,2018-02-17,NSW
POL000000763,93,,Mazda,2016-04-26,2017-04-25,NSW
POL000000764,71,,Volkswagen,2016-12-15,2017-12-14,NSW
POL000000765,85,,Hyundai,2016-07-15,2017-07-14,NSW
POL000000766,80,,Ford,2016-10-14,2017-10-13,NSW
POL000000767,23,,Subaru,2017-02-08,2018-02-07,NSW
POL000000768,24,,Ford,2016-08-12,2017-08-11,NSW
POL000000769,20,,Holden,2017-03-14,2018-03-13,NSW
POL000000770,87,,Nissan,2016-12-20,2017-12-19,NSW
POL000000771,41,,Hyundai,2016-12-01,2017-11-30,NSW
POL000000772,57,2016-12-05,Hyundai,2017-01-03,2018-01-02,NSW
POL000000773,55,,Ford,2017-03-03,2018-03-02,NSW
POL000000774,78,,Hyundai,2016-08-27,2017-08-26,NSW
POL000000775,98,,Holden,2016-06-02,2017-06-01,NSW
POL000000776,19,,Mitsubishi,2017-01-25,2018-01-24,VIC
POL000000777,29,,Ford,2016-11-26,2017-11-25,VIC
POL000000778,43,,Subaru,2016-08-12,2017-08-11,VIC
POL000000779,19,,Ford,2016-06-20,2017-06-19,VIC
POL000000780,91,,Volkswagen,2017-03-03,2018-03-02,VIC
POL000000781,85,,Honda,2016-07-09,2017-07-08,VIC
POL000000782,56,,Subaru,2016-10-25,2017-10-24,VIC
POL000000783,49,,Toyota,2016-04-12,2017-04-11,VIC
POL000000784,68,,Volkswagen,2017-02-08,2018-02-07,VIC
POL000000785,53,,Toyota,2017-04-02,2018-04-01,VIC
POL000000786,82,,Honda,2016-04-06,2017-04-05,VIC
POL000000787,46,,Volkswagen,2017-02-03,2018-02-02,VIC
POL000000788,69,,Subaru,2016-05-17,2017-05-16,VIC
POL000000789,21,,Ford,2017-03-08,2018-03-07,VIC
POL000000790,31,,Honda,2016-07-01,2017-06-30,VIC
POL000000791,22,,Ford,2016-10-07,2017-10-06,VIC
POL000000792,40,,Mitsubishi,2016-09-19,2017-09-18,VIC
POL000000793,66,,Mitsubishi,2016-06-23,2017-06-22,VIC
POL000000794,30,,Nissan,2016-09-16,2017-09-15,VIC
POL000000795,55,,Subaru,2016-09-17,2017-09-16,VIC
POL000000796,31,,Toyota,2016-12-12,2017-12-11,VIC
POL000000797,55,,Hyundai,2017-02-02,2018-02-01,VIC
POL000000798,89,,Honda,2017-03-12,2018-03-11,VIC
POL000000799,40,,Ford,2017-01-24,2018-01-23,VIC
POL000000800,54,,Honda,2017-01-30,2018-01-29,VIC
POL000000801,83,,Mitsubishi,2017-01-25,2018-01-24,VIC
POL000000802,64,,Hyundai,2017-03-19,2018-03-18,VIC
POL000000803,41,,Holden,2016-12-10,2017-12-09,VIC
POL000000804,77,,Subaru,2016-06-20,2017-06-19,VIC
POL000000805,76,2016-03-17,Nissan,2016-12-04,2017-12-03,VIC
POL000000806,79,,Ford,2016-07-06,2017-07-05,VIC
POL000000807,58,,Toyota,2016-07-07,2017-07-06,VIC
POL000000808,59,,Mazda,2017-03-02,2018-03-01,VIC
POL000000809,43,,Subaru,2017-04-04,2018-04-03,VIC
POL000000810,43,,Hyundai,2016-08-13,2017-08-12,VIC
POL000000811,27,,Hyundai,2017-02-20,2018-02-19,VIC
POL000000812,83,,Holden,2016-07-03,2017-07-02,VIC
POL000000813,51,,Mitsubishi,2016-05-10,2017-05-09,VIC
POL000000814,69,,Subaru,2016-06-16,2017-06-15,VIC
POL000000815,61,2016-08-09,Mitsubishi,2017-01-16,2018-01-15,VIC
POL000000816,55,2016-04-07,Ford,2016-10-08,2017-10-07,VIC
POL000000817,27,,Hyundai,2017-02-05,2018-02-04,VIC
POL000000818,73,,Mazda,2016-04-29,2017-04-28,VIC
POL000000819,67,,Honda,2016-04-13,2017-04-12,VIC
POL000000820,83,,Nissan,2016-10-27,2017-10-26,VIC
POL000000821,32,,Mazda,2016-04-30,2017-04-29,VIC
POL000000822,60,,Subaru,2016-08-20,2017-08-19,VIC
POL000000823,35,,Holden,2016-06-06,2017-06-05,VIC
POL000000824,75,,Honda,2016-12-13,2017-12-12,VIC
POL000000825,68,,Hyundai,2016-12-25,2017-12-24,VIC
POL000000826,85,2015-11-10,Mazda,2016-07-28,2017-07-27,VIC
POL000000827,53,,Holden,2016-09-10,2017-09-09,VIC
POL000000828,27,,Toyota,2016-11-25,2017-11-24,VIC
POL000000829,74,,Hyundai,2016-08-12,2017-08-11,VIC
POL000000830,73,,Subaru,2016-08-10,2017-08-09,VIC
POL000000831,82,,Honda,2016-10-11,2017-10-10,VIC
POL000000832,97,,Volkswagen,2017-03-17,2018-03-16,VIC
POL000000833,96,2016-08-05,Ford,2016-11-12,2017-11-11,VIC
POL000000834,49,,Holden,2016-06-13,2017-06-12,VIC
POL000000835,34,2016-05-27,Hyundai,2016-08-16,2017-08-15,VIC
POL000000836,81,,Mazda,2016-04-18,2017-04-17,VIC
POL000000837,26,,Subaru,2016-09-22,2017-09-21,VIC
POL000000838,75,,Ford,2017-03-14,2018-03-13,VIC
POL000000839,40,,Subaru,2017-02-12,2018-02-11,VIC
POL000000840,88,,Volkswagen,2016-08-09,2017-08-08,VIC
POL000000841,49,,Ford,2017-02-23,2018-02-22,VIC
POL000000842,43,,Ford,2016-11-10,2017-11-09,VIC
POL000000843,79,,Hyundai,2016-09-13,2017-09-12,VIC
POL000000844,67,,Mitsubishi,2016-11-16,2017-11-15,VIC
POL000000845,90,,Holden,2016-05-01,2017-04-30,VIC
POL000000846,43,,Toyota,2016-12-09,2017-12-08,VIC
POL000000847,46,,Honda,2016-04-28,2017-04-27,VIC
POL000000848,21,,Subaru,2017-03-10,2018-03-09,VIC
POL000000849,21,,Volkswagen,2017-02-17,2018-02-16,VIC
